cLambda FITC,CD117 PE,CD20 PE-CF594,CD138 PC5.5,CD27 PC7,cKappa APC,CD45 A700,CD38 A750,CD56 BV421,CD19 BV510
127.487839,74.989418,319.0849,632.093384,68.5389557,1.0,13.455699,2763.16138,4.86967516,4.53158379
1730.93701,12.8639698,342.891144,388.905212,130.974731,2.57132077,1.0,1893.84204,6.97830582,13.455699
3307.73901,43.714447,542.469116,697.830566,50.0286446,1.0,67.3170395,4655.52588,10.1815176,16.5481701
50.4806557,39.9542046,1382.37219,135.77272,60.9756241,1.0,1.0,3651.74121,4.61383963,1.0
1407.46472,37.8551521,235.014008,938.979797,81.3123016,1.0,15.9633856,2350.14014,3.81971765,1.0
697.830566,18.9384193,44.1094093,52.3299103,15.1247253,1.0,1.0,1394.86206,8.2046957,2.73841953
90.5797806,44.9100723,842.910095,1639.99963,90.5797806,1.0,44.9100723,1175.74329,7.169168,18.1055832
1309.74731,23.7137375,114.444191,403.151947,33.677803,1.0,58.2941551,2594.55273,3.30773902,7.4317956
361.904297,29.1637764,122.98262,83.5362549,9.38979816,1.0,1.0,3459.8916,8.3536253,1.0
1000.0,32.4876823,482.607147,1229.82617,46.5552597,1.0,14.5902424,4104.69824,3.42891121,2.73841953
1433.01257,13.3352146,113.419441,1309.74731,2.35014009,1.0,44.5079422,1928.21851,6.37804365,15.2613783
143.301254,28.1331749,49.1367302,59.8885422,3.58663774,1.0,17.30937,723.394165,5.47370338,6.97830582
889.649109,47.8285828,21.0969048,80.5842209,47.4003181,1.0,1.0,1252.14966,7.4317956,4.82607126
283.873596,23.0824146,36.8473511,593.522949,31.9084892,1.0,1.0,2147.98511,9.47463512,7.4317956
81.3123016,139.486206,31.9084892,820.469604,96.4661636,1.0,76.3506088,2594.55273,4.14178467,16.3999958
1186.36621,11.7574329,93.8979797,196.321899,14.5902424,1.0,1.0,2594.55273,5.04806566,6.32093382
87.3788376,17.6235638,222.667206,83.5362549,1.0,1.0,1.0,1567.87878,5.09367514,3.52269459
1094.11377,21.8697472,25.0286541,345.989166,6.67142725,1.0,1.0,1893.84204,4.06794453,5.62341309
232.909653,53.7611732,947.463501,388.905212,36.5174141,1.0,1.0,3889.052,6.37804365,8.13123035
1893.84204,20.5352497,8.73788357,1369.99426,1.0,1.0,35.5452232,2788.12671,1.0,7.91475534
147.220657,11.240387,1094.11377,103.663292,25.4829674,1.0,16.6976852,588.208435,2.2875731,9.38979816
60.9756241,87.3788376,319.0849,173.093689,56.7422104,1.0,1.0,2689.59888,8.42910099,6.55248833
813.122986,11.139739,94.7463531,48.6967506,3.45989156,14.8550806,523.299133,798.626587,11.97085,6.67142725
604.296387,70.4135513,95.6023865,349.115204,1.0,32.4876823,18.9384193,2147.98511,2.76316142,20.3513756
330.773926,32.196785,850.525818,1134.19446,81.3123016,101.81517,46.1383972,2969.31494,1.0,25.945528
174.657608,59.8885422,149.89296,552.315857,205.352509,1.0,54.7370338,2414.41821,6.09756231,1.0
189.384201,8.50525856,8.73788357,42.9351006,264.164825,1.0,7431.79541,723.394165,1298.01965,1.0
691.582092,46.9758873,21.4798508,763.506104,80.5842209,1.0,1.0,5523.1582,10.9411383,7.91475534
2763.16138,4.65552616,25.2547894,528.027161,48.2607155,66.7142715,21.6739216,1094.11377,1.0,19.6321907
51.8613434,224.679016,191.095291,163.999969,91.3981705,1.0,58.8208427,2392.79907,12.6346292,10.0
1027.35071,37.1802673,281.331757,118.63662,85.8210373,1.0,1.0,1669.76843,8.2046957,8.58210373
495.806824,19.1095295,34.5989151,1074.60779,1.0,1.0,6.32093382,3554.52246,6.85389566,13.2158089
798.626587,50.9367523,547.3703,248.045441,124.093773,98.217186,103.663292,1778.27942,2.35014009,38.5422897
620.824341,11.8636618,222.667206,261.799469,14.3301258,1.0,302.321289,1229.82617,20.3513756,27.8812675
1218.81421,39.9542046,11.240387,72.9930038,1.0,307.80896,1.0,3105.90015,1.0,14.9892969
1700.07764,1.0,991.045837,414.178436,67.9252472,24.1441822,365.174133,1963.21899,15.820447,19.1095295
1154.78198,1.0,4255.06543,321.967834,254.829681,22.0673409,1.0,3586.6377,1.0,1.0
842.910095,48.6967506,36.8473511,523.299133,22.4679012,1.0,1.0,2548.29663,4.86967516,9.30572033
1197.08508,10.4599895,1526.13782,71.6916809,76.3506088,1.0,1.0,4067.94434,10.4599895,1.0
1998.85486,23.290966,425.506561,40.6794434,25.2547894,1.0,1.0,1893.84204,7.63506079,11.0399914
1407.46472,1.0,95.6023865,532.797913,34.2891121,1.0,1.0,3718.02661,3.68473482,8.42910099
342.891144,43.714447,1407.46472,76.3506088,78.438858,4.45079422,1.0,1526.13782,3.45989156,10.3663292
3889.052,2.83873606,18.4342308,791.475525,42.9351006,220.673401,39.5964508,1945.64001,1.0,7.77365017
889.649109,1.0,1309.74731,310.590027,58.2941551,11.3419437,1.0,2617.99463,3.68473482,1.0
567.422119,16.8485489,729.930054,947.463501,32.196785,1.0,1.0,2147.98511,2.8902638,1.09411383
552.315857,24.8045444,1345.56982,710.497437,117.574326,1.0,1.0,5280.27148,3.49115205,17.6235638
41.4178467,59.3522911,28.3873596,491.36731,166.976837,1.0,1.0,1218.81421,6.85389566,6.85389566
2969.31494,286.438416,437.14447,139.486206,79.1475525,1.0,1.0,4141.78467,4.14178467,18.6007843
361.904297,60.9756241,2016.91455,129.801956,187.688431,79.1475525,1.0,3522.69458,5.28027153,2.8902638
58.2941551,6.26433516,889.649109,128.639694,20.720787,1.0,15.5383987,1472.20654,6.67142725,2.6895988
813.122986,21.0969048,22.2667198,1472.20654,41.0469856,1.0,1.0,3105.90015,1.51247251,8.3536253
1218.81421,20.5352497,108.431694,144.595993,37.5161934,1.0,1.0,3105.90015,6.67142725,23.290966
38.8905182,283.873596,136.99942,922.239563,25.945528,1.0,72.3394165,1762.35645,6.4356699,6.20824337
421.696503,12.4093781,763.506104,302.321289,65.5248795,1.0,1.0,2167.39209,7.169168,5.09367514
930.572021,3.49115205,33.9820824,126.346291,148.550797,52.8027153,1.0,598.885437,6.4356699,5.00286484
913.981689,110.399918,107.460785,79.1475525,79.1475525,7.63506079,1.0,1526.13782,6.20824337,1.35772717
291.637756,5.62341309,23.9279919,1134.19446,1.0,41.792057,68.5389557,537.611755,1.94564009,10.0903502
3248.76831,1.0,91.3981705,1240.93774,31.9084892,122.98262,86.5964355,537.611755,1.0,47.8285828
930.572021,68.5389557,51.8613434,85.0525818,14.4595995,82.7882614,1.0,723.394165,1.0,75.666954
723.394165,18.6007843,194.564011,112.40387,15.1247253,15.5383987,1.06498563,1715.43787,3.02321291,5.23299122
92.2239532,124.093773,20.720787,1746.57605,151.247253,1.0,25.0286541,2350.14014,9.30572033,8.05842209
395.964508,45.7252655,20.9080009,547.3703,28.3873596,1.0,92.2239532,1596.3385,4.95806837,21.8697472
938.979797,70.4135513,736.525024,1394.86206,210.969055,133.352142,1.0,1945.64001,9.56023884,5.57306051
437.14447,21.6739216,1420.18115,813.122986,11.3419437,55.7306023,23.5014,1582.04468,5.82941532,3.55452228
593.522949,74.317955,60.9756241,805.842163,11.97085,1.0,106.498566,2788.12671,2.83873606,27.8812675
736.525024,18.2691669,500.286469,77.0404358,6.73170376,1.0,1.0,2502.86548,10.3663292,18.2691669
2128.75171,25.7132072,474.003174,441.094116,25.2547894,1.0,1.0,5725.48779,6.91582108,25.945528
749.894226,94.7463531,593.522949,777.365051,89.7687149,1.0,1.0,3459.8916,4.82607126,7.10497427
2436.23267,17.6235638,1.28639698,319.0849,8.81683064,44.9100723,1.0,1394.86206,2.73841953,21.6739216
283.873596,4.06794453,1553.83984,64.3566971,88.1683044,26.8959885,1.0,873.78833,1.44595993,11.3419437
162.531479,100.0,15.5383987,3050.52783,108.431694,1.0,84.291008,1298.01965,2.54829669,8.42910099
913.981689,14.7220659,76.3506088,90.5797806,1.0,1.0,1.0,3133.96216,6.26433516,6.09756231
1240.93774,44.9100723,52.8027153,352.26947,125.214966,1.0,1.0,2458.24414,9.47463512,2.24679017
1654.81714,1.0,10.5544958,395.964508,12.7487841,42.169651,1.0,2594.55273,1.0,1.99885476
1045.9989,26.8959885,858.210327,161.076157,57.7721786,1.0,1.0,3854.22876,3.27812123,17.1543789
120.790077,36.1904297,31.9084892,151.247253,1.09411383,1.0,1.0,2890.26392,7.36525011,1.89384198
5725.48779,46.5552597,135.77272,192.821854,41.4178467,1.0,1.0,3078.0896,1.0,14.3301258
3367.78027,1.0,1074.60779,813.122986,37.8551521,51.8613434,5.82941532,1309.74731,2.76316142,12.0790071
2109.69043,79.8626556,12.5214968,1998.85486,4.49100733,1.0,62.6433525,1762.35645,6.15265417,20.5352497
805.842163,37.5161934,25.2547894,1154.78198,61.5265427,1.0,381.971741,1746.57605,3.36778021,4.41094112
254.829681,16.5481701,71.0497437,67.9252472,1.0,75.666954,1.0,532.797913,5.28027153,9.73377419
685.389587,18.6007843,22.2667198,58.2941551,1.0,1.0,1.61076152,1433.01257,6.04296398,17.782795
388.905212,42.169651,127.487839,588.208435,31.0590019,1.0,1.0,4293.51025,11.7574329,2.81331754
2072.07861,1.0,18.2691669,528.027161,42.5506554,58.2941551,1.0,1165.21545,2.91637754,12.980196
2109.69043,1.0,26.1799469,474.003174,48.2607155,24.8045444,1.0,2147.98511,5.62341309,11.4444189
2035.13745,45.3158379,33.0773926,81.3123016,135.77272,37.5161934,1.0,1420.18115,2.14798498,9.47463512
1893.84204,20.3513756,248.045441,399.542053,10.9411383,3.36778021,1.0,2738.41968,2.39279914,1.99885476
478.285828,24.8045444,2287.57324,205.352509,72.3394165,1.0,1.0,2738.41968,10.5544958,13.5772715
1113.97388,3.58663774,32.196785,562.341309,76.3506088,1.0,53.7611732,2246.79004,5.88208437,1.92821848
905.797791,35.2269478,75.666954,321.967834,135.77272,3.2196784,171.543793,5048.06592,5.57306051,24.8045444
4958.06836,1.0,557.30603,40.6794434,30.7808952,1.0,1.0,4141.78467,4.74003172,6.37804365
547.3703,46.9758873,743.179565,518.613403,99.1045837,1.0,1.0,6552.48828,6.26433516,1.39486206
89.7687149,60.4296379,388.905212,176.235641,20.3513756,1.0,1.0,2738.41968,5.52315855,5.23299122
813.122986,50.4806557,858.210327,1064.9856,186.007843,1.0,1.0,4572.52686,13.8237219,2.10969043
2128.75171,12.4093781,77.0404358,79.1475525,37.1802673,22.4679012,1.0,930.572021,1.0,10.9411383
205.352509,1.0,3337.62476,76.3506088,55.7306023,1.0,1.0,1009.03503,3.7516191,46.9758873
191.095291,49.1367302,44.9100723,117.574326,9.73377419,1.0,1.0,2072.07861,7.04135513,19.4563999
95.6023865,39.2418976,1553.83984,144.595993,112.40387,1.0,1.0,1910.953,4.06794453,9.91045856
881.683044,11.97085,53.7611732,2109.69043,1.0,1.0,83.5362549,2916.37769,3.07808948,7.169168
257.13208,84.291008,98.217186,385.422882,128.639694,1.0,1.0,3718.02661,16.1076145,9.13981724
184.3423,20.720787,37.8551521,232.909653,16.5481701,46.1383972,41.0469856,865.964294,6.20824337,7.98626566
913.981689,71.6916809,81.3123016,148.550797,61.5265427,18.2691669,1.0,1746.57605,15.1247253,14.0746469
1963.21899,38.8905182,35.866375,2246.79004,7.23394156,1.0,1.0,4782.85791,4.53158379,4.78285837
1498.92969,12.2982626,74.989418,982.171875,1.0,88.9649124,39.9542046,1175.74329,1.82691669,4.61383963
661.169006,41.4178467,27.3841972,513.969666,71.6916809,36.1904297,43.714447,1009.03503,2.48045444,9.05797768
441.094116,79.1475525,299.614288,122.98262,41.4178467,1.0,5.32797909,2414.41821,8.3536253,6.67142725
469.758881,28.9026394,532.797913,100.903503,12.8639698,1.0,1.0,3554.52246,9.82171917,5.42469072
1512.47253,91.3981705,268.959869,2525.479,73.652504,1.0,54.7370338,5002.86475,3.92418981,1.4330126
385.422882,116.521545,201.691452,805.842163,76.3506088,75.666954,6.37804365,2109.69043,3.92418981,6.32093382
593.522949,40.3151932,187.688431,913.981689,72.3394165,1.0,93.8979797,2942.72729,6.26433516,3.42891121
45.7252655,128.639694,182.691666,1113.97388,186.007843,1.0,1.0,3428.91138,9.56023884,5.67422104
324.876831,11.97085,1459.02417,685.389587,1.0,1.0,1.0,2016.91455,5.28027153,7.29930067
23.0824146,1.0,1876.88428,324.876831,16.6976852,1.0,2.64164829,770.404419,5.09367514,1.0
2246.79004,14.9892969,1.0554496,2689.59888,16.1076145,1.0,91.3981705,2548.29663,1.74657607,4.53158379
956.023926,75.666954,679.252502,770.404419,113.419441,174.657608,1.0,1826.91675,1.0,7.70404387
149.89296,34.5989151,632.093384,156.787888,41.792057,52.8027153,1.0,947.463501,1.39486206,1.0
5376.11768,12.0790071,441.094116,1144.44189,12.1881418,1.0,31.3396225,3718.02661,1.0,7.10497427
482.607147,62.0824356,17.6235638,542.469116,1.0,1.0,21.4798508,1197.08508,7.84388542,3.65174127
1045.9989,38.5422897,129.801956,336.778015,1.0,1.0,1.0,3889.052,8.89649105,8.50525856
1684.85486,18.9384193,105.54496,632.093384,14.3301258,1.0,1.0,3398.20825,4.3714447,1.59633851
453.158356,67.3170395,667.1427,257.13208,65.5248795,15.2613783,1.0,1582.04468,3.81971765,5.77721786
897.687134,48.2607155,14.7220659,1094.11377,1.0,1.0,1.0,3248.76831,8.3536253,13.3352146
