cLambda FITC,CD117 PE,CD20 PE-CF594,CD138 PC5.5,CD27 PC7,cKappa APC,CD45 A700,CD38 A750,CD56 BV421,CD19 BV510
9821.71777,873.788269,1.0,1582.04517,1.0,55.7305946,1.0,2594.55249,1.0,111.397377
4371.44434,82.0469742,1810.55823,2864.38452,12.1881418,1.0,166.976837,8582.10156,1.0,13.9486227
9821.71777,897.687378,1.0,2864.38452,1.0,102.735069,1.0,2996.14331,1.0,88.96492
9821.71777,406.794403,125.214951,1009.03528,29.6931496,1.0,1.0,2571.32153,1.0,36.8473473
3050.52905,1.0,110.399948,2109.69116,33.9820824,46.9758873,276.316193,1218.81421,1.07460785,8.35362625
9821.71777,673.170471,1.0,2788.12744,1.0,67.3170471,1.0,4104.70068,1.0,63.2093315
9821.71777,518.613403,1.0,1582.04517,1.0,71.0497284,1.0,3219.67871,1.0,60.9756203
7365.25244,66.7142792,95.6023941,2109.69116,1.0,100.000008,1.0,5988.85596,1.0,43.7144508
9821.71777,1.0,104.599907,1144.44214,1.0,99.1045837,84.291008,1553.83997,1.0,21.0969048
9821.71777,1582.04517,1.0,2548.29712,1.0,16.548172,1.0,1980.95691,1.0,164.0
5327.98047,1.0,59.3522987,1625.31506,1.0,2.96931481,89.7687302,3819.71655,1.0,22.0673428
9821.71777,1654.81763,191.095322,1928.21899,50.0286446,1.0,153.992645,938.980103,1.0,184.342331
2689.59961,11.7574329,268.959961,913.981689,1.0,16.253149,1.0,1669.76831,1.0,4.65552616
9821.71777,465.552643,1.0,2267.09058,1.0,15.1247272,1.0,2329.09668,1.0,75.6669617
9821.71777,922.239624,36.5174141,3428.9126,1.0,83.5362396,1.0,3050.52905,1.0,72.3394165
9821.71777,1715.43835,1.0,2916.37866,1.0,1.0,1.0,3133.96289,1.0,184.342331
3751.62085,1.0,22.0673428,3105.89917,1.0,1.0,1.0,1582.04517,1.0,20.3513756
9821.71777,1945.64075,1.0,3889.05176,1.0,116.521545,1.0,3854.22998,1.0,166.976837
9821.71777,2594.55249,1.0,4655.52686,1.0,11.13974,1.0,4371.44434,1.0,230.824142
2571.32153,86.5964584,637.804382,1596.33838,1.0,52.8027229,1.0,2548.29712,1.0,14.4596004
2371.37427,1.0,81.3123016,3924.19189,1.0,16.6976871,1.0,4293.50879,1.0,21.0969048
3398.20752,93.0572205,25.9455299,632.093323,25.2547894,1.52613783,31.0590038,2090.80054,1.0,21.8697453
2267.09058,20.5352497,56.7422142,2371.37427,1.0,41.0469856,1.0,3651.73999,1.0,11.7574329
9821.71777,1.0,2.59455276,1669.76831,1.0,54.2469101,1.0,2890.26465,1.0,1.0
6493.81494,1.0,60.4296303,3078.0896,1.0,230.824142,77.736496,5935.22754,1.0,22.6708984
4179.20508,1.0,106.49855,2617.99463,1.0,41.792057,1.0,2480.45532,1.0,1.0
2267.09058,33.0773964,65.5248718,784.388611,1.0,1.0,1.0,2206.73389,1.0,1.0
3819.71655,22.8757324,44.91008,1103.99951,1.0,1.0,176.235657,1684.85498,5.04806614,18.2691669
2525.47925,36.5174141,697.830688,1472.20642,1.0,7.10497427,1.0,4450.79443,1.0,35.8663788
9821.71777,697.830688,1.0,1625.31506,1.0,44.91008,1.0,2969.31519,1.0,80.5842133
9821.71777,1928.21899,171.543823,1876.88416,1.0,60.9756203,1.0,4141.78516,1.0,181.055817
9821.71777,661.169006,8.58210468,842.910095,1.0,32.7812119,1.0,661.169006,1.0,63.7804375
